Ente,IdVigneto,Codice,NomeVigneto,Infection,2025-07-10,2025-07-11,2025-07-12,2025-07-13,2025-07-14,2025-07-15,2025-07-16
4.0,3973,SFECH02,ToFr-Restocina_gradoni,Peronospora,70%,68%,67%,63%,61%,66%,70%
4.0,4223,SFERB04,RibG-restocina,Oidium,29%,31%,33%,44%,30%,44%,41%
4.0,4223,SFERB04,RibG-restocina,Peronospora,71%,69%,67%,56%,70%,56%,59%
4.0,4227,SFESV03,Sv-Basso_Bodigoi,Oidium,25%,31%,37%,38%,34%,45%,42%
4.0,4227,SFESV03,Sv-Basso_Bodigoi,Peronospora,75%,69%,63%,62%,66%,55%,58%
4.0,4338,SFEPG03,Rib-Vecchia_lonzanoAlto,Oidium,30%,37%,36%,33%,34%,34%,38%
4.0,4338,SFEPG03,Rib-Vecchia_lonzanoAlto,Peronospora,70%,63%,64%,67%,66%,66%,62%
4.0,4350,SFEMR04,Pb-LonzanoAlto,Oidium,29%,32%,25%,19%,19%,18%,29%
4.0,4350,SFEMR04,Pb-LonzanoAlto,Peronospora,71%,68%,75%,81%,81%,82%,71%
4.0,4557,SFETC04,Rib-SottoCasa_restocina,Oidium,30%,27%,45%,26%,25%,30%,25%
4.0,4557,SFETC04,Rib-SottoCasa_restocina,Peronospora,70%,73%,55%,74%,75%,70%,75%
4.0,4567,SFERS01,Sv-Restocina,Oidium,24%,20%,30%,21%,34%,32%,26%
4.0,4567,SFERS01,Sv-Restocina,Peronospora,76%,80%,70%,79%,66%,68%,74%
4.0,4832,SFECH05,Rib-Scriò_Bodigoi,Oidium,29%,24%,16%,20%,17%,17%,31%
4.0,4832,SFECH05,Rib-Scriò_Bodigoi,Peronospora,71%,76%,84%,80%,83%,83%,69%
4.0,4942,SFEMAL02,Carm-Paolin,Oidium,30%,41%,31%,17%,28%,22%,30%
4.0,4942,SFEMAL02,Carm-Paolin,Peronospora,70%,59%,69%,83%,72%,78%,70%
4.0,5015,,friulano-Cantina_Bodi,Oidium,28%,39%,25%,13%,21%,17%,26%
4.0,5015,,friulano-Cantina_Bodi,Peronospora,72%,61%,75%,87%,79%,83%,74%
